Observation Date,Retail Sales Volume,Retail Price,ACV Distribution,Competition,EDLP,Trade Any Promo,TV,Print,Online Display,Pre-roll Video,Paid Search,Public Relations,FSI,Digital Coupon,Shopper Marketing
10/2/2015,3957937.18,5.375050958,63.89907893,2321043.491,89.445,80.1,60,16,9781932,179879,758697,20.0281158,25000000,194000,136481.425
10/9/2015,4166868.253,5.347852188,64.73375611,2234194.978,83.35,74.7,55,4,9688898,169500,686428,41.8586779,25000000,58000,108002.14
10/16/2015,4353312.182,5.338773865,65.90748203,2350354.251,60.835,62,55,4,9595702,171492,1063424,41.8586779,10000000,51000,108002.14
10/23/2015,4345415.078,5.330799108,66.54769436,2352050.76,64.59,73.3,0,4,10444398,166177,1100585,41.8586779,10000000,203000,108002.14
10/30/2015,4473411.726,5.335230319,66.67958809,2291890.895,86.395,88.4,0,4,8754062,165945,1336927,41.8586779,35000000,131000,108002.14
11/6/2015,4407853.84,5.348558962,66.88185705,2258733.516,88.5,92.5,0,4,6933663,174058,1456782,41.8586779,35000000,84000,108002.14
11/13/2015,4389761.787,5.359010718,66.6299217,2480095.932,83.305,73.5,0,0,4946122,181023,1391836,55.26488987,35000000,0,99801.25001
11/20/2015,4103171.566,5.335058381,66.69307304,2416969.846,87.035,77,0,0,6300883,126178,1699339,55.26488987,35000000,0,99801.25001
11/27/2015,4718813.801,5.352334933,66.86913988,2224539.754,89.875,78.7,0,0,5876359,110076,2390275,55.26488987,35000000,52000,99801.25001
12/4/2015,3758666.334,5.334714612,66.51618715,2228130.862,38.6,18.5,0,0,4591900,62605,1448389,55.26488987,0,0,99801.25001
12/11/2015,4493619.68,5.351372326,67.07375248,2296263.91,88.815,99,0,0,3826659,98178,2573427,10.58106169,20000000,0,60745.25
12/18/2015,4515142.195,5.350659152,67.03515999,2189344.308,85.71,83.2,0,0,3112340,103486,2413201,10.58106169,20000000,0,60745.25
12/25/2015,4707992.843,5.358834744,67.00898849,2111125.597,80.035,83.7,0,0,8888415,77413,2158197,10.58106169,20000000,0,60745.25
1/1/2016,3460315.689,5.346160757,66.44539916,2161408.005,14.97,16.6,0,0,2944190,44370,1731193,10.58106169,0,0,60745.25
1/8/2016,3710675.196,5.322090913,66.48203107,2136485.421,10.285,10.9,0,0,1628879,42896,561049,0.317945081,0,0,71232.93331
1/15/2016,4200932.404,5.326791588,66.49395405,1996048.241,60.725,48.1,0,0,1278615,73292,1343288,0.317945081,0,0,71232.93331
1/22/2016,4452083.403,5.30471875,66.48658542,2036647.401,80.99,99,0,0,5721904,77176,1390928,0.317945081,10000000,0,71232.93331
1/29/2016,4430113.241,5.291604191,66.30640605,2060478.057,83.36,95,0,0,7390715,72984,1098975,0.317945081,40000000,89000,71232.93331
2/5/2016,4354234.948,5.322478251,65.67683127,2062856.455,83.39,96,0,0,6357975,60961,222249,14.10293895,40000000,0,71232.93331
2/12/2016,4376112.655,5.309124292,65.21947302,2066549.881,74.365,78.4,0,1.21,6702093,69898,956201,19.6169365,20000000,122000,89882.91669
2/19/2016,3671314.187,5.306180702,65.26806871,2217841.664,1.47,87.05,0,1.21,8371102,70666,768211,19.6169365,0,7000,89882.91669
2/26/2016,3820565.97,5.312660053,64.83493072,2281891.762,79.145,95.7,70,1.21,10236592,72842,733535,19.6169365,25000000,52000,89882.91669
